City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Carlisle,US,40.2015,-77.1889,92.52,46,14,1.99,few clouds
294,Koumac,NC,-20.5667,164.2833,76.19,86,71,0.96,broken clouds
295,Poum,NC,-20.2333,164.0167,77.29,82,35,6.33,scattered clouds
296,Port Blair,IN,11.6667,92.75,83.46,82,100,20.07,overcast clouds
297,Dakar,SN,14.6937,-17.4441,76.08,78,75,9.22,broken clouds
298,Nuuk,GL,64.1835,-51.7216,39.81,81,75,12.66,broken clouds
299,Lady Frere,ZA,-31.7031,27.2329,49.53,96,100,5.28,overcast clouds
300,Burnie,AU,-41.0667,145.9167,47.95,85,7,3.36,clear sky
301,Paragominas,BR,-2.9667,-47.4833,72.36,90,100,2.8,overcast clouds
302,Visby,SE,57.6409,18.296,45.05,93,100,11.5,drizzle
303,Jizan,SA,17.3333,42.6667,88.74,56,7,2.75,clear sky
304,Uyskoye,RU,54.3775,60.0047,37.76,87,94,13.65,overcast clouds
305,Port Lincoln,AU,-34.7333,135.8667,58.48,81,0,10.87,clear sky
306,Colwyn Bay,GB,53.2948,-3.7267,58.95,55,90,11.99,overcast clouds
307,Mutoko,ZW,-17.397,32.2268,61.03,77,14,1.86,light rain
308,Aasiaat,GL,68.7098,-52.8699,34.36,80,100,0.69,overcast clouds
309,Kharitonovo,RU,61.4009,47.4978,31.53,96,100,7.65,light snow
310,Tamandare,BR,-8.7597,-35.1047,77.25,86,42,9.06,scattered clouds
311,Batsfjord,NO,70.6345,29.7185,39.13,93,100,5.75,light rain
312,Ayagoz,KZ,47.9714,80.4392,68.16,42,100,7.72,overcast clouds
313,Thompson,CA,55.7435,-97.8558,48.36,23,0,4.61,clear sky
314,Saint-Ambroise,CA,48.5501,-71.3324,60.62,82,100,3.44,overcast clouds
315,Iqaluit,CA,63.7506,-68.5145,31.73,93,100,33.38,light snow
316,Bagotville,AU,-28.9833,153.4167,59.63,86,100,10.33,overcast clouds
317,Gunnedah,AU,-30.9833,150.25,53.73,85,100,9.31,overcast clouds
318,Riverton,US,40.5219,-111.9391,64.51,21,0,10.0,clear sky
319,Amahai,ID,-3.3333,128.9167,77.02,83,80,4.21,broken clouds
320,Glasgow,GB,55.8652,-4.2576,57.02,82,100,3.0,overcast clouds
321,Pahrump,US,36.2083,-115.9839,77.95,8,2,4.0,clear sky
322,Porangatu,BR,-13.4408,-49.1486,80.4,32,3,2.59,clear sky
323,Segezha,RU,63.7415,34.3222,32.38,73,59,6.55,broken clouds
324,Cap-Aux-Meules,CA,47.3821,-61.8597,59.05,47,75,20.71,broken clouds
325,Pinawa,CA,50.1489,-95.8811,42.64,68,100,8.08,overcast clouds
326,Teya,RU,60.3778,92.6267,40.86,93,9,3.96,clear sky
327,Ivrea,IT,45.4672,7.8762,84.11,69,30,5.66,scattered clouds
328,Ribeira Brava,PT,32.65,-17.0667,68.72,84,19,2.06,few clouds
329,Wenling,CN,28.3669,121.36,62.19,92,100,1.86,overcast clouds
330,Cumberland,US,35.0502,-78.8664,92.48,51,20,10.36,few clouds
331,Acajutla,SV,13.5928,-89.8275,82.58,76,95,12.24,overcast clouds
332,Muravlenko,RU,63.7898,74.523,39.18,76,100,9.6,overcast clouds
333,Kutum,SD,14.2,24.6667,81.57,14,100,12.8,overcast clouds
334,Plouzane,FR,48.3833,-4.6167,59.05,68,0,9.22,clear sky
335,Valparaiso,CL,-33.0393,-71.6273,75.43,50,0,13.8,clear sky
336,Vrangel,RU,42.7297,133.0839,51.4,92,9,4.41,light rain
337,Kodinsk,RU,58.6881,99.1844,43.09,81,21,3.53,few clouds
338,Nizwa,OM,22.9333,57.5333,90.72,11,5,2.55,clear sky
339,Oktyabrskiy,RU,54.4815,53.471,35.17,95,34,6.17,scattered clouds
340,Takoradi,GH,4.8845,-1.7554,76.95,89,100,10.09,heavy intensity rain
341,Boston,US,42.3584,-71.0598,92.61,62,100,5.99,overcast clouds
342,Guiren,CN,33.6697,118.1889,68.41,53,100,6.82,overcast clouds
343,Basarabeasca,MD,46.3311,28.9728,64.33,85,92,6.46,overcast clouds
344,Santa Maria,BR,-29.6842,-53.8069,67.3,52,20,2.3,few clouds
